x,CMH,ZHH,MRC
0,323.38,239.071,
1,328.70499999999998,238.50200000000001,
2,327.47399999999999,,142.74100000000001
3,322.495,227.71199999999999,139.571
4,310.70699999999999,236.953,133.78899999999999
5,328.38900000000001,252.93700000000001,136.17599999999999
6,342.59699999999998,237.47399999999999,139.124
7,333.72699999999998,235.38999999999999,140.47499999999999
8,329.47300000000001,244.14599999999999,138.02000000000001
9,337.36700000000002,234.375,132.203
10,328.935,220.35599999999999,138.072
11,330.00999999999999,269.50299999999999,137.84299999999999
12,319.06999999999999,275.62700000000001,135.739
13,323.40499999999997,273.42500000000001,121.556
14,325.09300000000002,287.20999999999998,129.81999999999999
15,307.14100000000002,272.55200000000002,134.26400000000001
16,322.33999999999997,268.86099999999999,102.169
17,323.95699999999999,271.27300000000002,127.551
18,319.91000000000003,277.346,99.429000000000002
19,320.80200000000002,,128.30799999999999
20,325.48000000000002,282.31799999999998,129.77099999999999
21,321.41500000000002,278.03500000000003,131.18000000000001
22,317.89800000000002,270.62900000000002,129.416
23,315.517,273.56900000000002,133.13900000000001
24,316.74900000000002,260.45800000000003,
25,332.774,273.34899999999999,131.16800000000001
26,334.34100000000001,207.53,134.35599999999999
27,313.05599999999998,,134.48099999999999
28,315.73399999999998,,133.00399999999999
29,318.25400000000002,272.11599999999999,137.53100000000001
30,315.56999999999999,265.51499999999999,136.977
31,,270.80000000000001,132.01599999999999
32,,259.08499999999998,129.91800000000001
33,,275.56599999999997,138.745
34,324.08999999999997,270.5,137.989
35,330.90699999999998,270.62299999999999,139.34700000000001
36,325.49400000000003,267.18599999999998,131.83199999999999
37,318.80000000000001,273.25400000000002,139.898
38,317.52999999999997,274.858,139.26900000000001
39,324.22399999999999,264.79399999999998,142.102
40,1.4756944899004904e+20,285.238,138.65600000000001
41,316.03100000000001,280.51900000000001,140.38200000000001
42,314.904,265.90100000000001,134.80799999999999
