x,CMH,ZHH,MRC
0,4823.144927536232,5525.405797101449,
1,4800.63768115942,5464.927536231884,
2,4413.072463768116,5813.884057971014,
3,4931.115942028986,4525.057971014493,720.79710144927537
4,5125.913043478261,5447.347826086957,717.1884057971015
5,4794.695652173913,5497.31884057971,725.1884057971015
6,4516.985507246377,5006.057971014493,731.95652173913038
7,4598.652173913043,5218.971014492754,737.37681159420288
8,4645.31884057971,7429.449275362319,715.73913043478262
9,4572.739130434783,3939.913043478261,741.695652173913
10,4496.536231884058,3986.5072463768115,748.63768115942025
11,4585.072463768116,3981.753623188406,726.94202898550725
12,4855.014492753623,3843.68115942029,703.63768115942025
13,4368.95652173913,3801.6666666666665,724.78260869565213
14,4785.739130434783,3817.7971014492755,704.17391304347825
15,4727.31884057971,3804.5072463768115,694.20289855072463
16,4707.884057971014,3916.3333333333335,688.66666666666663
17,4860.028985507246,,721.36231884057975
18,4648.855072463768,4004.855072463768,765.68115942028987
19,4770.391304347826,3886.144927536232,751.05797101449275
20,4960.768115942029,3904.463768115942,756.79710144927537
21,4528.753623188406,3969.1159420289855,753.05797101449275
22,4479.376811594203,3944.0434782608695,
23,4684.376811594203,3875.9710144927535,757.33333333333337
24,4879.623188405797,3836.1014492753625,772.6521739130435
25,4865.869565217391,,783.92753623188401
26,4083.5652173913045,,781.68115942028987
27,4388.971014492754,4052.3623188405795,769.44927536231887
28,4461.521739130435,3956.4927536231885,786.85507246376812
29,,3918.768115942029,793.231884057971
30,,3816.8840579710145,789.62318840579712
31,,3811.8260869565215,774.97101449275362
32,4438.260869565217,,771.78260869565213
33,4661.159420289855,3801.086956521739,769.56521739130437
34,4883.289855072464,3881.782608695652,786.49275362318838
35,4309.652173913043,4066.5797101449275,772.21739130434787
36,4731.333333333333,3963.478260869565,767.07246376811599
37,4530.608695652174,4020.1739130434785,774.8115942028985
38,4574.710144927536,4075.8985507246375,784.68115942028987
39,4793.913043478261,3923.550724637681,769.71014492753625
40,4689.797101449275,4059.2608695652175,769.24637681159425
41,4034.2753623188405,4004.840579710145,762.91304347826087
42,,4031.463768115942,768.20289855072463
43,4324.130434782609,,758.86956521739125
