x,CMH,ZHH,MRC
0,5872.869565217391,7136.579710144928,
1,5810.231884057971,6842.086956521739,
2,5666.608695652174,6856.507246376812,891.78260869565213
3,5705.086956521739,6668.028985507246,884.1884057971015
4,5262.260869565217,7188.333333333333,933.28985507246375
5,5718.579710144928,5703.188405797101,912.304347826087
6,5996.492753623188,6724.710144927536,906.78260869565213
7,5544.811594202899,6684.434782608696,912.1884057971015
8,5283.739130434783,6135.405797101449,910.10144927536237
9,5379.971014492754,6572.840579710145,915.07246376811599
10,5408.333333333333,5482.492753623188,923.3478260869565
11,5274.130434782609,4898.666666666667,886.94202898550725
12,5237.942028985507,4945.246376811594,885.08695652173913
13,5248.942028985507,4984.463768115942,891.1159420289855
14,5717.376811594203,4937.101449275362,885.33333333333337
15,5139.144927536232,4802.260869565217,880.98550724637676
16,5608.289855072464,4872.0,865.28985507246375
17,5417.811594202899,4898.115942028986,848.89855072463763
18,5494.057971014493,4931.159420289855,888.33333333333337
19,5707.565217391304,,890.60869565217388
20,5541.391304347826,4917.811594202899,904.28985507246375
21,5580.057971014493,4748.710144927536,900.536231884058
22,5655.695652173913,4836.492753623188,902.07246376811599
23,5250.072463768116,4961.68115942029,903.14492753623188
24,5134.420289855072,4767.434782608696,
25,5387.507246376812,4781.391304347826,910.21739130434787
26,5619.927536231884,4704.565217391304,918.56521739130437
27,5526.333333333333,,923.37681159420288
28,4802.347826086957,,929.21739130434787
29,5050.550724637681,4898.623188405797,922.463768115942
30,5189.130434782609,4815.086956521739,938.91304347826087
31,,4774.971014492754,943.82608695652175
32,,4589.434782608696,950.56521739130437
33,,4680.63768115942,910.86956521739125
34,5240.840579710145,,945.6521739130435
35,5474.31884057971,4623.347826086957,938.44927536231887
36,5695.63768115942,4785.666666666667,937.6521739130435
37,5240.536231884058,4945.347826086957,921.8115942028985
38,5599.869565217391,4750.347826086957,912.40579710144925
39,5399.869565217391,4873.347826086957,913.27536231884062
40,5428.231884057971,4892.420289855072,926.6521739130435
41,5612.942028985507,4885.144927536232,911.75362318840575
42,5600.492753623188,4993.753623188406,920.21739130434787
