x,CMH,ZHH,MRC
0,8415.246376811594,8919.927536231884,
1,8129.188405797101,8995.855072463768,
2,8314.4492753623181,8851.3768115942021,1044.391304347826
3,7626.855072463768,9510.5942028985501,1128.3188405797102
4,8354.2028985507241,7470.333333333333,1108.0
5,8669.173913043478,8828.492753623188,1069.304347826087
6,7917.101449275362,8833.6666666666661,1108.1304347826087
7,7626.188405797101,8273.04347826087,1097.608695652174
8,7786.811594202899,8698.782608695652,1094.8985507246377
9,7840.739130434783,9981.9855072463761,1099.7826086956522
10,7595.826086956522,6620.0,1075.7101449275362
11,7651.695652173913,6708.536231884058,1071.9420289855072
12,7700.115942028986,6732.36231884058,1080.5652173913043
13,8206.9855072463761,6739.289855072464,1056.2028985507247
14,7497.536231884058,6344.63768115942,1050.376811594203
15,7921.202898550725,6515.913043478261,1048.2753623188405
16,7878.768115942029,6555.36231884058,1025.2028985507247
17,7941.130434782609,6686.202898550725,1044.5072463768115
18,8251.5942028985501,,1055.3333333333333
19,8018.0,6691.710144927536,1066.144927536232
20,8148.797101449275,6517.391304347826,1067.3478260869565
21,8211.9130434782601,6545.144927536232,1071.4492753623188
22,7680.188405797101,6674.275362318841,1058.840579710145
23,7625.202898550725,6541.333333333333,
24,7788.710144927536,6527.68115942029,1075.8260869565217
25,8141.942028985507,6527.391304347826,1080.5652173913043
26,8068.014492753623,,1101.4492753623188
27,7132.768115942029,,1094.2753623188405
28,7493.188405797101,6728.724637681159,1105.376811594203
29,7623.478260869565,6674.31884057971,1125.391304347826
30,,6565.159420289855,1119.0579710144928
31,,6486.130434782609,1131.855072463768
32,,6325.811594202899,1085.8695652173913
33,7650.057971014493,,1127.7101449275362
34,7952.420289855072,6369.028985507246,1119.7971014492753
35,8273.2318840579719,6556.159420289855,1126.7826086956522
36,7620.347826086957,6890.898550724638,1109.4492753623188
37,8158.449275362319,6632.36231884058,1092.4492753623188
38,7969.31884057971,6668.260869565217,1085.4347826086957
39,7973.086956521739,6697.289855072464,1101.072463768116
40,8211.289855072464,6680.739130434783,1086.7826086956522
41,8211.898550724638,6833.289855072464,1105.144927536232
42,7094.376811594203,6672.63768115942,1115.9855072463768
